gpa,attendance,financial_score,credit_hours,scholarship
2.75,93.9,58.1,9.0,Not Eligible
3.9,79.8,52.7,76.0,Not Eligible
3.46,67.8,35.1,104.0,Eligible
3.2,89.5,49.3,99.0,Not Eligible
2.31,76.7,36.5,109.0,Not Eligible
2.31,83.8,65.8,127.0,Not Eligible
2.12,64.3,83.5,129.0,Not Eligible
3.73,85.3,78.7,53.0,Not Eligible
3.2,74.9,34.1,65.0,Not Eligible
3.42,73.4,50.9,65.0,Not Eligible
2.04,99.2,1.1,83.0,Not Eligible
3.94,77.3,87.0,32.0,Not Eligible
3.66,87.1,24.5,100.0,Eligible
2.42,85.1,44.1,16.0,Not Eligible
2.36,64.2,15.3,124.0,Not Eligible
2.37,89.9,67.8,16.0,Not Eligible
2.61,72.9,54.5,97.0,Not Eligible
3.05,92.0,36.5,52.0,Not Eligible
2.86,84.3,53.5,82.0,Not Eligible
2.58,72.7,16.9,41.0,Not Eligible
3.22,74.3,77.6,16.0,Not Eligible
2.28,89.3,26.6,122.0,Not Eligible
2.58,82.0,61.5,66.0,Not Eligible
2.73,86.7,89.9,39.0,Not Eligible
2.91,66.3,3.9,81.0,Not Eligible
3.57,91.5,38.8,34.0,Not Eligible
2.4,72.8,13.5,5.0,Not Eligible
3.03,84.8,90.9,103.0,Eligible
3.18,64.6,36.0,129.0,Eligible
2.09,72.9,21.3,124.0,Not Eligible
3.22,86.0,67.6,114.0,Eligible
2.34,71.0,54.3,97.0,Not Eligible
2.13,95.2,81.7,21.0,Not Eligible
3.9,86.4,75.3,20.0,Not Eligible
3.93,94.8,97.5,19.0,Not Eligible
3.62,75.8,9.1,60.0,Not Eligible
2.61,61.4,8.0,62.0,Not Eligible
2.2,83.0,90.7,75.0,Not Eligible
3.37,73.6,95.6,29.0,Not Eligible
2.88,77.9,40.7,5.0,Not Eligible
2.24,87.2,45.6,13.0,Not Eligible
2.99,88.0,36.9,9.0,Not Eligible
2.07,61.1,77.8,103.0,Not Eligible
3.82,90.8,77.1,18.0,Not Eligible
2.52,79.7,22.0,98.0,Not Eligible
3.33,82.3,38.4,14.0,Not Eligible
2.62,71.9,21.2,64.0,Not Eligible
3.04,76.8,4.7,37.0,Not Eligible
3.09,88.4,5.6,85.0,Not Eligible
2.37,91.1,14.7,19.0,Not Eligible
3.94,75.5,3.0,77.0,Not Eligible
3.55,87.6,42.3,74.0,Not Eligible
3.88,70.3,6.4,52.0,Not Eligible
3.79,93.3,84.7,63.0,Not Eligible
3.2,84.4,71.2,19.0,Not Eligible
3.84,91.0,78.4,105.0,Eligible
2.18,79.1,61.7,79.0,Not Eligible
2.39,69.2,66.4,16.0,Not Eligible
2.09,77.2,11.3,119.0,Not Eligible
2.65,75.3,5.8,81.0,Not Eligible
2.78,73.3,98.9,22.0,Not Eligible
2.54,68.5,37.3,29.0,Not Eligible
3.66,90.4,5.1,27.0,Not Eligible
2.71,63.5,16.0,29.0,Not Eligible
2.56,95.5,87.4,27.0,Not Eligible
3.09,67.0,20.6,97.0,Not Eligible
2.28,99.2,46.7,77.0,Not Eligible
3.6,99.5,66.7,30.0,Not Eligible
2.15,75.9,96.6,121.0,Not Eligible
3.97,99.5,1.4,2.0,Not Eligible
3.54,94.8,48.8,89.0,Not Eligible
2.4,63.3,99.6,71.0,Not Eligible
2.01,97.9,12.2,69.0,Not Eligible
3.63,61.7,12.4,72.0,Not Eligible
3.41,67.3,8.7,63.0,Not Eligible
3.46,83.4,50.8,123.0,Eligible
3.54,63.2,34.8,80.0,Not Eligible
2.15,66.5,71.6,60.0,Not Eligible
2.72,98.1,57.1,112.0,Eligible
2.23,99.8,58.1,116.0,Not Eligible
3.73,91.9,51.1,101.0,Eligible
3.25,80.6,99.2,75.0,Not Eligible
2.66,96.0,53.9,6.0,Not Eligible
2.13,64.5,7.2,118.0,Not Eligible
2.62,97.7,32.2,106.0,Eligible
2.65,74.1,78.1,121.0,Eligible
3.46,94.5,62.8,17.0,Not Eligible
3.28,86.7,68.4,125.0,Eligible
3.77,98.4,92.2,126.0,Eligible
2.94,94.6,44.4,59.0,Not Eligible
2.24,95.5,2.0,10.0,Not Eligible
3.43,85.3,99.0,81.0,Not Eligible
3.52,93.3,45.5,81.0,Not Eligible
3.12,90.3,9.8,69.0,Not Eligible
3.54,66.5,54.9,43.0,Not Eligible
2.99,85.9,59.0,9.0,Not Eligible
3.05,65.9,56.4,73.0,Not Eligible
2.86,94.8,96.5,41.0,Not Eligible
2.05,62.6,32.0,13.0,Not Eligible
2.22,99.5,3.5,25.0,Not Eligible
2.06,76.0,92.0,103.0,Not Eligible
3.27,66.8,19.1,105.0,Eligible
2.63,97.4,74.9,100.0,Eligible
3.02,61.8,20.4,10.0,Not Eligible
3.82,78.8,82.9,14.0,Not Eligible
2.5,90.8,90.6,30.0,Not Eligible
